開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
1007,06UG021,通識,B,,,是,,,宇宙中的生命與太空環境 [ 97-105入學：科學與生命 ；106-108入學：科學與生命  ；109起入學：自然科學 ],Life in the Universe and the Space Environments [ Fall Semester 2017 and Before : Science and Life ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,橋本康弘,三 6-7 公館 Ｅ302,97,124,,◎數位課程
1008,06UG023,通識,,,,是,,,智慧型手機與開放軟體之日常物理學習 [ 97-105入學：科學與生命 ；106-108入學：數學與邏輯思維 科學與生命  ；109起入學：邏輯運算 ],Smartphone and Open Source in Daily Physics Learning [ Fall Semester 2017 and Before : Science and Life ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking Science and Life  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,賈至達,三 3-4 公館 Ｄ101,30,28,,
1009,06UG025,通識,A,,,,,,汽車與生活 [ 97-105入學：科學與生命 ；106-108入學：科學與生命  ；109起入學：自然科學 ],Vehicle and Life [ Fall Semester 2017 and Before : Science and Life ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,李景峰,三 3-4 本部 綜202演講廳,150,160,,
1010,06UG025,通識,B,,,,,,汽車與生活 [ 97-105入學：科學與生命 ；106-108入學：科學與生命  ；109起入學：自然科學 ],Vehicle and Life [ Fall Semester 2017 and Before : Science and Life ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,李景峰,三 6-7 本部 綜202演講廳,150,159,,
1011,06UG027,通識,,,,是,,,一般醫學常識 [ 97-105入學：科學與生命 ；106-108入學：科學與生命  ；109起入學：自然科學 ],General Medical Knowledge [ Fall Semester 2017 and Before : Science and Life ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,彭書韻,四 3-4 本部 正301,50,32,,
1012,06UG030,通識,,,,是,,,聯合國永續發展目標 [ 97-105入學：科學與生命 ；106-108入學：公民素養與社會探究 科學與生命  ；109起入學：自然科學 ],Introduction of Sustainable Development Goals (SDGs) [ Fall Semester 2017 and Before : Science and Life ; From Fall Semester 2017 to Spring Semester 2020 : Citizenship and Social Inquiry Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,蘇淑娟 張子超 蔡慧敏,四 6-7 公館 理圖003,50,12,,
1013,06UG032,通識,,,,是,,,現代醫學 [ 97-105入學：科學與生命 ；106-108入學：科學與生命  ；109起入學：自然科學 ],Modern Medicine [ Fall Semester 2017 and Before : Science and Life ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,彭書韻,四 6-7 公館 理圖002,50,27,,
1014,0AUG203,通識,,,,,,,音樂概論 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：藝術與美感  ；109起入學：人文藝術 ],Introduction to Music [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,吳佩蓉,三 3-4 本部 音308,65,78,◎音樂系（學）不得選修,
1015,0AUG215,通識,A,,,是,,,文學與藝術 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：語言與文學  ；109起入學：人文藝術 ],Literature and Arts [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,狄亞倫,二 6-7 本部 正303,50,39,,
1016,0AUG215,通識,B,,,,,,文學與藝術 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：語言與文學  ；109起入學：人文藝術 ],Literature and Arts [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,林秀玲,五 9-10 本部 誠701A,50,47,,
1017,0AUG229,通識,,,,,,,文學、電影中的情感經驗 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：語言與文學  ；109起入學：人文藝術 ],Love in Literature and Films [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,鄭怡庭,一 6-7 本部 誠105,30,46,,
1018,0AUG402,通識,A,,,,,,心理學 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：科學與生命  ；109起入學：社會科學 學院共同課程 ],Psychology [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Social Sciences College Common Course ],2.0,通,半,楊諮燕,四 3-4 本部 正105,50,50,,
1019,0AUG402,通識,B,,,,,,心理學 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：科學與生命  ；109起入學：社會科學 學院共同課程 ],Psychology [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Social Sciences College Common Course ],2.0,通,半,朱采翎,二 3-4 本部 樸202,50,55,,
1020,0AUG402,通識,C,,,,,,心理學 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：科學與生命  ；109起入學：社會科學 學院共同課程 ],Psychology [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Social Sciences College Common Course ],2.0,通,半,朱采翎,二 6-7 本部 正201,50,55,,
1021,0AUG402,通識,D,,,是,,,心理學 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：科學與生命  ；109起入學：社會科學 學院共同課程 ],Psychology [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Social Sciences College Common Course ],2.0,通,半,黃美齡,二 3-4 本部 樸306,50,53,,
1022,0AUG402,通識,E,,,,,,心理學 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：科學與生命  ；109起入學：社會科學 學院共同課程 ],Psychology [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Social Sciences College Common Course ],2.0,通,半,黃美齡,二 6-7 本部 正203,50,55,,
1023,0AUG402,通識,F,,,,,,心理學 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：科學與生命  ；109起入學：社會科學 學院共同課程 ],Psychology [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Social Sciences College Common Course ],2.0,通,半,蘇宜芬,三 3-4 本部 教103,100,100,,
1025,0AUG426,通識,,,,,,,物理與生活 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：科學與生命  ；109起入學：自然科學 跨域專業探索課程 ],Physics and Life [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences Cross-domain Exploration ],2.0,通,半,盧志權,三 3-4 公館 Ｂ101,50,45,◎物理系（學）不得選修,
1026,0AUG442,通識,,,,是,,,聖經與人生 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：歷史與文化  ；109起入學：人文藝術 ],The Bible and Human Life [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : History and Culture  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,范俊銘,三 8-9 公館 Ｓ202,50,40,,
1027,0AUG462,通識,,,,,,,個人投資理財 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：公民素養與社會探究  ；109起入學：社會科學 ],Personal Finance [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Citizenship and Social Inquiry  ; Fall Semester 2020 and After : Social Sciences ],2.0,通,半,朱文增,三 3-4 本部 誠101,170,181,,
1028,0AUG463,通識,,,,,,,休閒與生活 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：哲學思維與道德推理 公民素養與社會探究  ；109起入學：社會科學 ],Leisure in Our Daily Life [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Philosophical Thinking and Moral Reasoning Citizenship and Social Inquiry  ; Fall Semester 2020 and After : Social Sciences ],2.0,通,半,李晶,三 3-4 本部 誠208,50,66,,
1029,0AUG485,通識,,,,,,,運動鑑賞 [ 97-105入學：一般通識(藝術與生活) ；106-108入學：藝術與美感  ；109起入學：人文藝術 ],Sports Appreciation [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,林慶宏,三 3-4 本部 誠205,50,56,,
1030,0HUG011,通識,,,,,,,學術寫作 [ 97-105入學：一般通識(人文學) ；106-108入學：語言與文學  ；109起入學：人文藝術 ],Academic Writing [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,謝秀卉,二 3-4 本部 誠401,50,42,,
1031,0HUG210,通識,,,,,,,閩南語概論 [ 97-105入學：一般通識(人文學) ；106-108入學：語言與文學  ；109起入學：人文藝術 ],Introduction to Southern Min Chinese [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,林香薇,一 3-4 本部 教103,95,95,◎國文系（學）不得選修,
1032,0HUG248,通識,,,,是,,,中國經典文學閱讀：古典與現代 [ 97-105入學：一般通識(人文學) ；106-108入學：語言與文學  ；109起入學：人文藝術 ],Masterpieces of Chinese Literature: Classic and Modern [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,王思韻,三 6-7 本部 誠302,50,40,◎國文系（學）不得選修,授權碼優先發放給大四或延畢同學。
1033,0HUG249,通識,,,,,,,樂府詩與人生 [ 97-105入學：一般通識(人文學) ；106-108入學：語言與文學  ；109起入學：人文藝術 ],Yuefu Poems and Life [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,林淑雲,一 6-7 本部 誠101,135,141,◎國文系（學）不得選修,
1034,0HUG432,通識,,,,,,,莎士比亞的故事 [ 97-105入學：一般通識(人文學) ；106-108入學：語言與文學  ；109起入學：人文藝術 跨域專業探索課程 ],Shakespeare [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts Cross-domain Exploration ],2.0,通,半,林南,二 3-4 本部 誠202,70,80,◎英語系（學）不得選修,
1035,0HUG449,通識,,,,,,,國際貿易英文 [ 97-105入學：一般通識(人文學) ；106-108入學：語言與文學  ；109起入學：人文藝術 ],English for International Trade [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,田正利,三 3-4 本部 綜508會議室,50,50,,母語英語者不可以修習本課程
1036,0HUG450,通識,,,,是,,,大腦中的語言：心理語言學入門 [ 97-105入學：一般通識(人文學) ；106-108入學：語言與文學  ；109起入學：人文藝術 ],Language inside Our Heads: An Introduction to Psycholinguistics [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,颯楊,三 6-7 本部 誠304,50,50,,
1037,0HUG501,通識,A,,,,,,日語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Beginning Japanese [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,張怡倩,四 3-4 本部 誠109,50,76,,日語母語者不可修本課程
1038,0HUG501,通識,B,,,,,,日語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Beginning Japanese [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,張怡倩,四 6-7 本部 誠102,50,77,,日語母語者不可修本課程
1039,0HUG501,通識,C,,,,,,日語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Beginning Japanese [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,許菁娟,一 6-7 公館 理圖002,50,50,,(1)日語為母語者不可選課。(2)本課程不開放授權碼，亦不簽停修單。
1040,0HUG501,通識,D,,,,,,日語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Beginning Japanese [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,許菁娟,三 6-7 公館 理圖003,50,50,,(1)日語為母語者不可選課。(2)本課程不開放授權碼，亦不簽停修單。
1041,0HUG502,通識,A,,,,,,法語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],French (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,楊慧娟,三 6-7 本部 正301,50,50,,學過二個月以上法語者，請勿選課。
1042,0HUG502,通識,B,,,,,,法語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],French (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,楊慧娟,三 8-9 本部 正301,50,55,,學過二個月以上法語者，請勿選課。
1043,0HUG503,通識,A,,,,,,西班牙語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Spanish (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,張乃翠,三 3-4 本部 正203,50,55,,母語人士不可選課
1044,0HUG503,通識,B,,,,,,西班牙語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Spanish (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,張乃翠,三 6-7 本部 正203,50,54,,母語人士不可選課
1045,0HUG506,通識,A,,,,,,韓語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Korean (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,賀中慧,一 6-7 公館 理圖001,50,55,,授權碼發放以大四或延畢同學為優先
1046,0HUG506,通識,B,,,,,,韓語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Korean (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,賀中慧,一 8-9 公館 理圖001,50,53,,授權碼發放以大四或延畢同學為優先
1047,0HUG509,通識,A,,,,,,泰語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Thai Language (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,譚華德,四 6-7 本部 樸306,50,53,,母語人士不可選課
1048,0HUG509,通識,B,,,,,,泰語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Thai Language (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,譚華德,四 8-9 本部 樸306,50,55,,母語人士不可選課
1049,0HUG649,通識,A,,,,,,越南語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Vietnamese (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,劉陳石草,三 A-B 本部 誠109,50,36,,母語人士不可選課
1050,0HUG649,通識,B,,,,,,越南語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Vietnamese (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,劉陳石草,四 A-B 本部 誠109,50,13,,母語人士不可選課
1051,0HUG652,通識,A,,,,,,日語（二） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Japanese (II) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,張怡倩,四 8-9 本部 誠109,50,57,,日語母語者不可修本課程
1052,0HUG652,通識,B,,,,,,日語（二） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Japanese (II) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,許菁娟,三 8-9 公館 理圖003,50,42,,(1)日語為母語者不可選課。(2)本課程不開放授權碼，亦不簽停修單。
1053,0HUG653,通識,A,,,,,,印尼語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Indonesian Language (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,馮燕妮,三 6-7 本部 正201,50,39,,印尼語為母語者，或印尼及馬來西亞國籍者不得修課。
1054,0HUG653,通識,B,,,,,,印尼語（一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Indonesian Language (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,馮燕妮,三 8-9 本部 正201,50,49,,印尼語為母語者，或印尼及馬來西亞國籍者不得修課。
1055,0HUG655,通識,A,,,,,,馬來語 （一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Malay Language (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,陳際宇,二 A-B 本部 誠205,50,44,,馬來西亞籍及印尼籍同學不可選修。本門課不開放任何身份與形式之旁聽。
1056,0HUG655,通識,B,,,,,,馬來語 （一） [ 97-105入學：一般通識(人文學) ；106-108入學：第二外語  ；109起入學：人文藝術 ],Malay Language (I) [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Foreign Languages  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,陳際宇,一 A-B 本部 誠205,50,48,,馬來西亞籍及印尼籍同學不可選修。本門課不開放任何身份與形式之旁聽。
1057,0NUG245,通識,,,,是,,,人類與自然資源 [ 97-105入學：一般通識(自然科學) ；106-108入學：科學與生命  ；109起入學：自然科學 ],Human and Natural Sciences [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,葉孟宛,三 3-4 公館 綜合館B1小型演講廳,40,34,,1.本課程為與日本關西大學合開之國際線上課程。2.上課時間需與日本同步，調整為上午10:00。3.學生請自備筆電或平板可穩定上網視訊之設備。
1058,0NUG246,通識,,,,,,,生理心理學 [ 97-105入學：一般通識(自然科學) ；106-108入學：科學與生命  ；109起入學：自然科學 ],Physiological Psychology [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,呂國棟,三 3-4 公館 Ｅ102,120,128,,
1059,0NUG253,通識,,,,,,,３Ｄ列印與創新應用 [ 97-105入學：一般通識(自然科學) ；106-108入學：科學與生命  ；109起入學：自然科學 ],3 D Printing and Innovative Applications [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,沈林琥,三 3-4 本部 誠302,70,88,,
1060,0SUG238,通識,,,,,,,國際關係導論 [ 97-105入學：一般通識(社會科學) ；106-108入學：公民素養與社會探究  ；109起入學：社會科學 ],Introduction to International Relations [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Citizenship and Social Inquiry  ; Fall Semester 2020 and After : Social Sciences ],2.0,通,半,徐筱琦,四 6-7 本部 正202,50,51,◎東亞系（學）不得選修,
1061,0SUG514,通識,,,,,,,博物館探索 [ 97-105入學：一般通識(社會科學) ；106-108入學：公民素養與社會探究 歷史與文化  ；109起入學：社會科學 ],Exploration of Museum [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Citizenship and Social Inquiry History and Culture  ; Fall Semester 2020 and After : Social Sciences ],2.0,通,半,黃玫瑄,三 6-7 本部 誠301,60,72,,
1062,0SUG523,通識,,,,,,,通識教育講座 [ 97-105入學：一般通識(社會科學) ；106-108入學：語言與文學 藝術與美感 哲學思維與道德推理 公民素養與社會探究 歷史與文化 數學與邏輯思維 科學與生命  ；109起入學：社會科學 ],Lectures on General Education [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature Art and Aesthetics Philosophical Thinking and Moral Reasoning Citizenship and Social Inquiry History and Culture Mathematical and Logical Thinking Science and Life  ; Fall Semester 2020 and After : Social Sciences ],2.0,通,半,黃玫瑄,三 3-4 本部 誠301,72,72,,
1063,0SUG526,通識,A,,,,,,大學入門 [ 97-105入學：一般通識(社會科學) ；106-108入學：語言與文學 藝術與美感 哲學思維與道德推理 公民素養與社會探究 歷史與文化 數學與邏輯思維 科學與生命  ；109起入學：大學入門 ],Introduction to University Studies [ Fall Semester 2017 and Before : Non-core ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature Art and Aesthetics Philosophical Thinking and Moral Reasoning Citizenship and Social Inquiry History and Culture Mathematical and Logical Thinking Science and Life  ; Fall Semester 2020 and After : Introduction to University Studies ],2.0,通,半,陳伊琳,三 3-4 本部 教310,50,48,◎限大一修習◎限教育系（學）選修,非大一、非本系的學生請先取得授課教師同意，並以授權碼方式加選。
